w_EXUS,w_GOLD,w_GOVH,w_HPRD,w_IWMO,w_IWVL,w_LGAP,w_MVOL,w_MWEQ,w_PRAM,w_SP5A,w_WEBN,annualised_return_p1,annualised_return_p5,annualised_return_p50,annualised_return_p95,annualised_return_p99,max_dd_depth_p2,max_dd_length_months_p2,mda_months_p2,shannon_entropy,volatility_10y,volatility_1y,volatility_3y,volatility_5y
0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.017163,0.041182,0.079261,0.118643,0.13666,0.13864,48,4.319799,0.703474,0.024264,0.077624,0.044925,0.034078
0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.012878,0.032967,0.079505,0.124859,0.140884,0.205075,60,8.041764,0.682417,0.027114,0.08881,0.050165,0.039261
0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.015809,0.02827,0.07486,0.119918,0.138845,0.204822,72,7.803668,0.682417,0.027843,0.08784,0.051798,0.040895
0.0,0.2,0.2,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.1,0.3,0.026608,0.039811,0.080174,0.122276,0.141082,0.141457,60,4.764001,0.626628,0.025643,0.081169,0.047325,0.03732
0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.023382,0.038301,0.073693,0.108895,0.120659,0.106814,48,2.710209,0.682417,0.02137,0.067159,0.038587,0.029379
0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.021793,0.035842,0.072346,0.107856,0.121138,0.133243,60,3.918245,0.682417,0.021924,0.070548,0.041201,0.031827
0.0,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.014629,0.030429,0.070329,0.111417,0.126618,0.14866,60,5.030185,0.682417,0.024371,0.072505,0.043551,0.033808
0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.025499,0.037519,0.073136,0.112789,0.125299,0.114183,48,3.370165,0.626628,0.022234,0.070515,0.040421,0.031773
0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.002968,0.023689,0.069626,0.117549,0.133038,0.227022,72,8.794241,0.605571,0.028299,0.082296,0.050504,0.039371
0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.009275,0.024845,0.068473,0.109148,0.126125,0.198182,72,7.326022,0.66136,0.025919,0.081704,0.047975,0.036101
0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.018357,0.034507,0.072656,0.112246,0.124616,0.144057,60,4.091948,0.605571,0.023644,0.073853,0.043862,0.033109
0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.00378,0.021956,0.06644,0.111094,0.12948,0.208367,72,7.43791,0.605571,0.027308,0.086608,0.050202,0.037883
0.0,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.014856,0.03083,0.070697,0.109724,0.129684,0.16083,60,5.615312,0.605571,0.023941,0.078571,0.043599,0.034001
0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.015557,0.034099,0.080827,0.131404,0.145828,0.181922,60,6.823437,0.759263,0.028764,0.09047,0.052197,0.040833
0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.003139,0.026533,0.078508,0.127659,0.149691,0.262751,84,11.702225,0.738206,0.030624,0.099414,0.057411,0.045329
0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,-0.002349,0.022664,0.079239,0.129243,0.153734,0.242268,72,10.261232,0.738206,0.032415,0.103887,0.058892,0.045888
0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.011334,0.030323,0.083648,0.134551,0.149908,0.206863,72,7.251718,0.682417,0.031017,0.094336,0.054484,0.043267
0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.020119,0.03538,0.074254,0.114707,0.131073,0.158981,48,4.793468,0.759263,0.024188,0.081015,0.044599,0.033551
0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.01095,0.029838,0.075925,0.12,0.137942,0.201952,60,7.537046,0.759263,0.0272,0.08494,0.049687,0.038364
0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.008461,0.027834,0.074178,0.11882,0.138878,0.218837,72,7.890516,0.759263,0.02805,0.086109,0.049856,0.039055
0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.021164,0.035473,0.077222,0.121021,0.14451,0.159388,48,4.861575,0.703474,0.025909,0.083735,0.047942,0.036778
0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.002691,0.021969,0.072997,0.124196,0.143735,0.275632,84,11.431661,0.682417,0.030627,0.09565,0.057185,0.043558
0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.003645,0.021145,0.07319,0.123882,0.141692,0.26961,84,11.797224,0.738206,0.030934,0.090865,0.054487,0.043514
0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.011864,0.026731,0.076014,0.120716,0.138973,0.203799,60,6.99333,0.682417,0.028474,0.0871,0.050719,0.03859
0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0007,0.019932,0.069046,0.122575,0.141193,0.276249,84,12.454511,0.682417,0.032358,0.099749,0.060102,0.045616
0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.004033,0.027339,0.073841,0.12304,0.142872,0.20096,72,7.295274,0.682417,0.029502,0.091303,0.052002,0.041654
0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.023912,0.036064,0.070025,0.105923,0.124611,0.123959,48,3.368588,0.682417,0.021255,0.068663,0.040702,0.031528
0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.014596,0.031003,0.069886,0.105184,0.120884,0.144192,48,4.366352,0.738206,0.022539,0.071897,0.039828,0.031568
0.1,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.016634,0.029159,0.068704,0.108136,0.122783,0.157769,60,4.671277,0.738206,0.023833,0.076692,0.042917,0.032986
0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.017082,0.036014,0.071849,0.107492,0.126104,0.123017,48,3.310553,0.682417,0.02273,0.06891,0.038751,0.03057
0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.004737,0.023593,0.067931,0.108298,0.124315,0.216345,72,7.804921,0.682417,0.026064,0.082946,0.048047,0.03712
0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.00472,0.024672,0.068388,0.106923,0.127147,0.198106,72,7.04682,0.738206,0.02525,0.08199,0.046558,0.036472
