Data,IWDA + EMIM
05/2011,204130.98042676298
06/2011,199956.46206858256
07/2011,198988.01814440385
08/2011,182535.78883432347
09/2011,178466.08010134276
10/2011,189921.60453739204
11/2011,193334.99702988507
12/2011,200380.83425008017
01/2012,206651.3955907669
02/2012,212441.1135236126
03/2012,216573.96562987787
04/2012,216415.47992410333
05/2012,210662.93779931887
06/2012,218108.91748474477
07/2012,226415.84514533135
08/2012,226136.13784887546
09/2012,226616.53837125062
10/2012,223993.77741087953
11/2012,226984.2809577099
12/2012,227607.3633076504
01/2013,232917.00015213861
02/2013,240782.7416430352
03/2013,252657.82531872022
04/2013,255291.10076650337
05/2013,256683.5079558442
06/2013,248942.30855304713
07/2013,258198.79338420444
08/2013,253466.79692485605
09/2013,260822.44284738964
10/2013,268329.77131514327
11/2013,273700.3460319042
12/2013,275843.8285916279
01/2014,271031.53798477276
02/2014,278480.3452700549
03/2014,279389.0342894554
04/2014,280988.3861269896
05/2014,291633.55147304025
06/2014,295742.1402166764
07/2014,297091.1886236088
08/2014,308035.17527942755
09/2014,314083.36552184226
10/2014,317604.37422092765
11/2014,325033.4779562825
12/2014,328800.5183222011
01/2015,346716.8438486681
02/2015,369153.0207180962
03/2015,379619.7907775332
04/2015,372725.5584632401
05/2015,382362.5198162127
06/2015,366161.82196234463
07/2015,380279.5234162213
08/2015,347261.96288989275
09/2015,334811.6198701292
10/2015,367444.0919357212
11/2015,380753.30283115694
12/2015,363478.2643024697
01/2016,340700.7117400313
02/2016,339158.9457026014
03/2016,346363.5859666255
04/2016,351288.9203668014
05/2016,361148.0786679283
06/2016,358773.91764872725
07/2016,373561.41437015
08/2016,373233.75538251986
09/2016,374241.4226295293
10/2016,374207.2808755491
11/2016,390688.3682260752
12/2016,403604.2451270577
01/2017,405120.6495537614
02/2017,422568.00582652586
03/2017,423314.1958819425
04/2017,420188.6942112267
05/2017,417950.0785248939
06/2017,412536.08641621267
07/2017,411062.71279595234
08/2017,408230.04971971695
09/2017,418064.20015282417
10/2017,432113.98415183637
11/2017,433615.27511633735
12/2017,434202.47774127935
01/2018,440101.21789652493
02/2018,430262.1464833316
03/2018,417228.8644593669
04/2018,430478.4048628937
05/2018,447246.16462487663
06/2018,448604.95825159457
07/2018,459541.8254727307
08/2018,468621.7621348342
09/2018,474284.1804844921
10/2018,449476.234426274
11/2018,452941.40685934416
12/2018,415174.5579251843
01/2019,445997.4201774573
02/2019,462305.95949396584
03/2019,475923.84341712773
04/2019,493546.5736909488
05/2019,467862.81652617
06/2019,488657.371235999
07/2019,501162.76623742946
08/2019,496027.2187867926
09/2019,513422.00612305617
10/2019,513978.8229862184
11/2019,536567.3940731817
12/2019,540245.1776247154
01/2020,545799.2645173206
02/2020,503079.38217880274
03/2020,437337.1673498102
04/2020,488682.0413655317
05/2020,500328.6294323942
06/2020,510719.38560890063
07/2020,505793.5817970518
08/2020,535430.1946260752
09/2020,527202.1107953147
10/2020,511467.02193003485
11/2020,563285.0712466316
12/2020,573242.1670965339
01/2021,573858.2691392896
02/2021,589291.3543261648
03/2021,629463.2180545025
04/2021,639293.4715252457
05/2021,642177.7502744969
06/2021,669134.3749599875
07/2021,680719.5483439141
08/2021,701021.9054239774
09/2021,686712.4158920499
10/2021,721495.6823644938
11/2021,723198.844838573
12/2021,756571.9801449957
01/2022,727460.0848749746
02/2022,706339.1613572573
03/2022,732130.2464883362
04/2022,707040.6844588213
05/2022,696149.8277558048
06/2022,655804.2932234462
07/2022,720991.7586758116
08/2022,704527.4437804918
09/2022,655554.67888033
10/2022,690867.0682405856
11/2022,706003.091686026
12/2022,657640.5600279868
01/2023,693317.2073211353
02/2023,690287.1415167828
03/2023,694865.1891246432
04/2023,700220.6730653651
05/2023,712567.5961556863
06/2023,742935.5988951873
07/2023,756955.8338300637
08/2023,749413.2711877197
09/2023,735631.2369086113
10/2023,712604.6794219365
11/2023,757166.3427930668
12/2023,785784.4342333139
01/2024,810844.0442109377
02/2024,846080.7267240376
03/2024,874481.0394525728
04/2024,849304.683139625
05/2024,876272.44180826
06/2024,906380.4276370539
07/2024,911875.6486115365
08/2024,914111.8851203563
09/2024,921790.4328540994
10/2024,929575.6308922449
11/2024,1001686.6318807572
12/2024,991827.6761106262
01/2025,1026432.7231471181
02/2025,1017283.4172351287
03/2025,935684.079623795
04/2025,897683.5625529449
05/2025,953670.146301243
06/2025,962483.6096886932
07/2025,998210.319493473
08/2025,1005623.1870120442
09/2025,1030612.3078665482
10/2025,1068264.9828687853
11/2025,1070171.0980511801
12/2025,1061927.8303842626
01/2026,1070298.665942499
