Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
07/1991,19206.964385777064
08/1991,17984.553868636845
09/1991,17865.922185883108
10/1991,17970.540106264776
11/1991,17726.69709046113
12/1991,16559.33544626782
01/1992,16709.044843925054
02/1992,17029.747497667853
03/1992,16920.488088295675
04/1992,16505.356658046803
05/1992,16245.230458246462
06/1992,16056.196795039796
07/1992,15935.890177540814
08/1992,14759.201138169465
09/1992,15499.872306340958
10/1992,15693.590116493873
11/1992,16472.805003392667
12/1992,16398.117430452432
01/1993,16595.337300502095
02/1993,16862.124790719925
03/1993,17472.72876128728
04/1993,17702.648119623205
05/1993,18905.842257200857
06/1993,19509.119228736585
07/1993,21588.608135724946
08/1993,20118.327547638615
09/1993,18483.961167951333
10/1993,19442.675721198833
11/1993,20035.0691758977
12/1993,21092.565767963926
01/1994,20680.821111153495
02/1994,20800.252646594796
03/1994,20778.63547032898
04/1994,20156.2078689687
05/1994,20307.173680174314
06/1994,20010.924421006624
07/1994,19181.894675758016
08/1994,19291.449893901172
09/1994,19534.93861777929
10/1994,18627.783192182964
11/1994,18867.838430852018
12/1994,19223.567365669325
01/1995,18456.52714738849
02/1995,18327.53968725341
03/1995,18345.45486671297
04/1995,17891.180138755946
05/1995,17913.564515670503
06/1995,17891.22122417089
07/1995,17514.280601098515
08/1995,17997.494721502437
09/1995,18307.057423472408
10/1995,17958.905783051243
11/1995,18239.94205476112
12/1995,18476.2494666329
01/1996,19612.142439815005
02/1996,19486.515371956866
03/1996,19265.075056783135
04/1996,19181.78216933748
05/1996,19377.256968585265
06/1996,18806.063937856507
07/1996,18680.299702198663
08/1996,18566.196748302125
09/1996,18366.09344389651
10/1996,18447.531589680388
11/1996,17817.277193226957
12/1996,18125.788892647925
01/1997,17407.098302078946
02/1997,18854.259827773
03/1997,18517.301163000848
04/1997,18190.228018214744
05/1997,18425.089978114167
06/1997,18036.364095409877
07/1997,18083.813106807836
08/1997,18542.630858497294
09/1997,18430.923324519503
10/1997,16968.42597516047
11/1997,15840.027527479044
12/1997,15850.854035227907
01/1998,17092.938062867768
02/1998,16638.476930463585
03/1998,16901.949544557232
04/1998,17328.477968432504
05/1998,16125.37085834966
06/1998,16391.84476642181
07/1998,16017.502033224093
08/1998,15098.933802743482
09/1998,15471.22861675491
10/1998,14821.105152829556
11/1998,15375.180404150755
12/1998,14901.254904292893
01/1999,15278.446227899425
02/1999,15877.235681917124
03/1999,15854.008045501652
04/1999,16482.130942051557
05/1999,15655.269278425905
06/1999,15400.839199906775
07/1999,14566.015845457961
08/1999,14686.601118728706
09/1999,17085.607955889125
10/1999,17437.955737820117
11/1999,17585.016271371238
12/1999,17607.559430161084
01/2000,17633.545074354905
02/2000,18422.646312866567
03/2000,17655.00968513806
04/2000,18450.444182523952
05/2000,17834.66580863153
06/2000,18376.491209711177
07/2000,18247.139188804922
08/2000,18954.71184783451
09/2000,19026.707439585236
10/2000,19150.867765510382
11/2000,18884.86964124848
12/2000,17857.030191209407
01/2001,17345.620787937256
02/2001,17574.99875600943
03/2001,17781.789570507888
04/2001,18067.83804990688
05/2001,19224.189660210388
06/2001,19446.97466188012
07/2001,18508.971864370804
08/2001,18166.953985779637
09/2001,19562.195012032338
10/2001,18787.564375099097
11/2001,18869.018492770578
12/2001,19120.157872169937
01/2002,19919.02455068285
02/2002,20911.772693933795
03/2002,21054.634149310416
04/2002,20850.878864804537
05/2002,21203.59355953583
06/2002,19458.826269212856
07/2002,18977.9473422833
08/2002,19386.562676340913
09/2002,20007.18061713547
10/2002,19578.944889434355
11/2002,19586.68033280113
12/2002,19918.026406060264
01/2003,20706.694359716188
02/2003,19638.716321696436
03/2003,18730.232874542602
04/2003,18437.139003484648
05/2003,18630.19074980949
06/2003,18452.872446952606
07/2003,19101.73531237734
