Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
03/2025,687016.2217593273
04/2025,682804.6212304819
05/2025,722376.2894901169
06/2025,724198.3931746826
07/2025,750654.04494165
08/2025,766047.0361224401
09/2025,761077.472414355
10/2025,768245.548323339
11/2025,754934.6775981346
12/2025,760147.0794014403
01/2026,801167.9352798975
